CSFSP80053Index,CSFSubcategoryID,SP80053ControlDetailID
706,DE.CM-7,AU-12 (2)
707,DE.CM-7,AU-12 (3)
708,DE.CM-7,AU-12a
709,DE.CM-7,AU-12b
710,DE.CM-7,AU-12c
712,DE.CM-7,CA-7 (1)
713,DE.CM-7,CA-7 (3)
714,DE.CM-7,CA-7a
715,DE.CM-7,CA-7b
716,DE.CM-7,CA-7c
717,DE.CM-7,CA-7d
718,DE.CM-7,CA-7e
719,DE.CM-7,CA-7f
720,DE.CM-7,CA-7g
722,DE.CM-7,CM-3 (1)
723,DE.CM-7,CM-3 (1)(a)
724,DE.CM-7,CM-3 (1)(b)
725,DE.CM-7,CM-3 (1)(c)
726,DE.CM-7,CM-3 (1)(d)
727,DE.CM-7,CM-3 (1)(e)
728,DE.CM-7,CM-3 (1)(f)
729,DE.CM-7,CM-3 (2)
730,DE.CM-7,CM-3 (3)
731,DE.CM-7,CM-3 (4)
732,DE.CM-7,CM-3 (5)
733,DE.CM-7,CM-3 (6)
734,DE.CM-7,CM-3a
735,DE.CM-7,CM-3b
736,DE.CM-7,CM-3c
737,DE.CM-7,CM-3d
738,DE.CM-7,CM-3e
739,DE.CM-7,CM-3f
740,DE.CM-7,CM-3g
742,DE.CM-7,CM-8 (1)
743,DE.CM-7,CM-8 (2)
744,DE.CM-7,CM-8 (3)(a)
745,DE.CM-7,CM-8 (3)(b)
746,DE.CM-7,CM-8 (4)
747,DE.CM-7,CM-8 (5)
748,DE.CM-7,CM-8 (6)
749,DE.CM-7,CM-8 (7)
750,DE.CM-7,CM-8 (8)
751,DE.CM-7,CM-8 (9)(a)
752,DE.CM-7,CM-8 (9)(b)
753,DE.CM-7,CM-8a.1
754,DE.CM-7,CM-8a.2
755,DE.CM-7,CM-8a.3
756,DE.CM-7,CM-8a.4
757,DE.CM-7,CM-8b
759,DE.CM-7,PE-20a
760,DE.CM-7,PE-20b
762,DE.CM-7,PE-3 (1)
763,DE.CM-7,PE-3 (2)
764,DE.CM-7,PE-3 (3)
765,DE.CM-7,PE-3 (4)
766,DE.CM-7,PE-3 (5)
767,DE.CM-7,PE-3 (6)
768,DE.CM-7,PE-3a.1
769,DE.CM-7,PE-3a.2
770,DE.CM-7,PE-3b
771,DE.CM-7,PE-3c
772,DE.CM-7,PE-3d
773,DE.CM-7,PE-3e
774,DE.CM-7,PE-3f
775,DE.CM-7,PE-3g
777,DE.CM-7,PE-6 (1)
778,DE.CM-7,PE-6 (2)
779,DE.CM-7,PE-6 (3)
780,DE.CM-7,PE-6 (4)
781,DE.CM-7,PE-6a
782,DE.CM-7,PE-6b
783,DE.CM-7,PE-6c
785,DE.CM-7,SI-4 (1)
786,DE.CM-7,SI-4 (10)
787,DE.CM-7,SI-4 (11)
788,DE.CM-7,SI-4 (12)
789,DE.CM-7,SI-4 (13)(a)
790,DE.CM-7,SI-4 (13)(b)
791,DE.CM-7,SI-4 (13)(c)
792,DE.CM-7,SI-4 (14)
793,DE.CM-7,SI-4 (15)
794,DE.CM-7,SI-4 (16)
795,DE.CM-7,SI-4 (17)
796,DE.CM-7,SI-4 (18)
797,DE.CM-7,SI-4 (19)
